サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
Archaic Air ,あーけいっくえあー,http://karisuwaya.gamagaeru.jp/,,,Chronus Record,,
ARIACROWN,ありあくらうん,http://ariacrown.web.fc2.com/,ロック,男,東方紅蓮月,原曲維持,ひねり気味のダークでスロウなロックアレンジが少し粗いが、ボコーダー的なエフェクトを味付けた男声ボーカルが面白い。（Black）
AriaRhythm,ありありずむ,http://karisomeno.web.fc2.com/,ロック、ポップス,男,彼女と星の唄,原曲維持,軽めのロックに男声ボーカル。（Black）
Ark of Phantasm,あーくおぶふぁんたずむ,http://gkf.sakura.ne.jp/winna/blog/,ロック、テクノ,,glide,原曲破壊,ミドルテンポのエレキギターがメインのロック風味。（Black）
ARMのArmageddong Records,えーあーるえむのあるまげどんれこーず,http://armageddon-records.com/,プログレ、テクノ、エレクトロ,女,東方メリーゴーランド,原曲維持,IOSYSのアレンジャーARM氏の個人サークル。メロトロンオンリーのレトロなプログレッシブ・ロックアレンジ。メロトロン好きにはたまらないだろう。（Black）
Art Book Chipika,あーとぶっくちぴか,http://www.abchipika.jp/,テクノ、エレクトロ,,東方極光天 ～ Sky Lights,原曲維持,軽やかなミッドテンポのエレクトロがリラックスさせる。（Black）
Arte Refact,あるてりふぁくと,http://www.arte-refact.com/,ロック、テクノ、ポップス,女,幻想遊園郷 - Fantastic Park -,原曲重視～維持,有名サークルによる合同音楽サークル。ヴォーカルメイン(イール)
as qool as qucumber,あずくーるきゅーかんばー,http://acacmizu.blog130.fc2.com/,テクノ、エレクトロ、エレクトロニカ,,夢幻現想ディザテーション,原曲維持,聞きやすく、丁寧な印象を受ける。(UR)
As/Hi,あすはい,http://as-hi.smat.ne.jp/,ハードロック,男,Rapid Ensemble,原曲維持,ロック風味のかなり技術を凝らしたアレンジは聞いていて飽きない。（Black）
As/Hi Soundworks,あすはいさうんどわーくす,http://ashisoundworks.blog129.fc2.com/,ロック、ポップス、ピアノ,女,Rapid Ensemble Revival,原曲重視,As/Hiの姉妹サークル。正統派ヴォーカルからピアノソロまで幅広く。(イール)
Ash,あっしゅ,http://21.pro.tok2.com/~ashsound/index.html,ロック、ハウス,,無料頒布CD,,
Ash Blind,あっしゅぶらいんど,,ピアノ,,ピアノのための東方小品集Op.1-1,原曲重視,素直なピアノソロアレンジ。（Black）
AsparTate,あすぱーていと,http://blog.sina.com.cn/aspartate,トランス、ハウス、ピアノ、エレクトロ,女,CombinationREACTION,原曲維持,多彩なアレンジで非常に聴き応えのあるアレンジ。(UR)
Assault Door,あさるとどあ,http://assaultdoor.web.fc2.com/,ピアノ,,CIRNO IN WONDERLAND,原曲重視,非常に安定したピアノ生演奏は必聴です。（和泉）
AT project,あっとぷろじぇくと,http://at-p.info/,ポップス,男女,ムゲンノ音 infinity note,原曲維持,
Atelier　Oguu,あとりえおぎゅう,http://oguu.exblog.jp/,シンセ,,幽々閑々,原曲重視,よろずジャンル原曲重視の安定度は十分。（Black）
Atlas works,あとらすわーくす,http://eos.suppa.jp/,,,Alternative Dark Frenzy,,
Ato-siva,あとしば,http://eos.suppa.jp/koromu/,ハードロック、メタル,,Asteroid remnant,原曲重視～維持,エレギによる原曲メロが哀愁を醸し出すハードロック系インスト。（Black）
Attrielectrock,あとりえれくとろっく,http://triangler.net/,エレクトロニカ,,A Café Chic Records,原曲維持,安定した技術による穏やかなエレクトロニカはBGMにお勧め。（Black）
A-TTTempo,あてんぽ,http://projectshion.xxxxxxxx.jp/,シンセ、テクノ、クラシック,,東方人形大戦,原曲重視,原曲メロに忠実な打ち込みアレンジ。（Black）
AudioINN,おーでぃおいん,http://audioinn.web.fc2.com/,エレクトロニカ、フュージョン,,Touhou Elektronika Works 0.4+,原曲維持～破壊,ゆったりエレクトロニカ、フュージョン系が心地よい。（Black）
AUK,えーゆーけー,http://auk.karakasa.com/,ポップス、ロック、トランス,女,TRIANGLE SENSATION,原曲維持,ダンサブルでハードめなマルチジャンルアレンジに女声ボーカル。（Black）
Azure Line,あずーるらいん,http://circleazureline.sitemix.jp/blog/,テクノ、エレクトロ、トランス、ハードコア,,東方舞日情,原曲維持,スピード感のあるアレンジ。聞いていて楽しくなる。(UR)
Azure&Sands,あずーるあんどさんず,http://bunbun-aya.ath.cx/~tainokobone/,ジャズ、ポップス,女,東方JAZZ,原曲維持～破壊,ジャズアレンジといえばここ。技術は大安定。（Black）
B.L.Addictive,びーえるあでぃくてぃぶ,http://bladdictive.blog28.fc2.com/,ロック,男,LUNATIC BLUSE EP,原曲維持,エレギ分厚めのロックアレンジに男声ボーカル。（Black）
bamboo project,ばんぶーぷろじぇくと,http://page.freett.com/bcd___/th.html,,,放蕩恋娘,,
Bamboo River,ばんぶーりばー,,ダンス,女,東方狂月華,原曲維持,シンプルな四つ打ちにボーカル。（Black）
Barrage Am Ring ,ばらーじゅ・あん・りんぐ,http://barrage.am/ring/,メタル,男女,Barrage Am Ring 0　,原曲維持～破壊,いろんなHR/HMサークルが集まってヘヴィメタルを存分に思い切り奏でるアルバム。（Black）
Be Used,びーゆずど,,シンセ,,Be Addicted ～ 東方廻帰,原曲維持,ダークな雰囲気の打ち込みは魅力。（Black）
Beat-joker,びーとじょーかー,,ダンス、トランス,,MID-NITE EMOTiONS Plus+,原曲破壊,速めのクラブ系打ち込み。（Black）
Belch of Cattle,べるてぇおぶきゃっとる,http://tohocow.tyonmage.com/simpleVC_20100614230355.html,アコースティック,男,TOHO Belch Vol.1,原曲維持,
BeζUMa The さうんど(てくてくあるく。),びーくまざさうんど,http://karitu.web.fc2.com/,民族,,東方演舞奏,原曲重視,珍しい和太鼓(風)と横笛による構成。(りーす)
BITPLANE,びっとぷらん,http://bitplane.info/,民族、オーケストラ、ダンス、テクノ,,EASTERN FAIRY TALE,原曲破壊,不気味な方向へ凝りに凝った構成とコンセプトの確実さ、技術、音重ねどれも珠玉。（Black）
Bitter Quartz,びたーくぉーつ,http://www.tsf-drops.com/,テクノ、ハードコア、ボーカロイド,,MENTALISTS,原曲維持～破壊,四つ打ち系ハードコア分多め。（Black）
Bitter Quartz Vs mono music,びたーくぉーつぶいえすものみゅーじっく,http://www.tsf-drops.com/,トランス、ハードコア,,Pathetic Girls,原曲維持～破壊,哀愁漂うハードめな四つ打ちでごり押し系。（和泉）
BLANKFIELD,ぶらんくふぃーるど,http://blankfield.but.jp/,メタル,,The Edge Of The Knife,原曲維持～破壊,超高速ギターとドラムのかっ飛びっぷり。（Black）
Bliss Rings,ぶりすりんぐす,http://blissrings.blog76.fc2.com/,ハードロック,,Scarlet Rings,原曲維持,ストレートなハードロックインスト。エレギの刻みが印象的。（Black）
Bloody Alice,ぶらっでぃありす,http://bloody-alice.com/,,,空中楼閣奇譚 ～新月～,,
Bloody Sword ,ぶらっでぃそーど,http://bloodysword.dojin.com/,メタル、ハードロック,男,東方歌劇曲,原曲破壊,ヴィジュアル系からメタルまでかっこいい。（Black）
BLUE TRAIN,ぶるーとれいん,http://www.geocities.jp/bluetrain_metal/,,,はなまるグラインド幼稚園,,
BlueMica,ぶるーまいか,http://www.blue-mica.com/,テクノ、エレクトロ,,魔理沙の冒険OST,原曲重視,原曲重視、音を変えてのシンプルな打ち込み。（Black）
BOXELL,ぼっくせる,http://boxell.jp/,ロック、ジャズ、テクノ、エレクトロ、オーケストラ、エレクトロニカ,女,恋々幻想郷オリジナルサウンドトラック,,たくさんのアレンジャーが集いバラエティに溢れるジャンルを一挙出しのサントラ。（Black）
BPM:Maximum Creations,びーぴーえむまきしまむくりえいしょんず,http://bm-creations.com/,オーケストラ、ロック,,永夜抄 ～ Ocestra & Live ～,原曲重視～維持,オケとロックとアレンジ違いの作品。（Black）
Breeze Sinfonia,ぶりーずしんふぉにあ,http://breezesinfonia.momijioroshi.com/,オーケストラ,,天狗ノ活動記録詩,原曲重視,打ち込みオーケストラの音色はきっちりクリアに心地よい。（和泉）
Breeze Sinfonia,,,,,桜天仰ぎ、春見つめ,,壮大なコンセプトが垣間見えるオケインストアレンジ。（Black）
BubbleRecords,ばぶるれこーず,http://bubblerecords-web.com/,ダンス、トランス、ハードコア,,fiori,原曲重視～維持,直球ど真ん中クラブ系。（Black）
BUGSEN,ばぐせん,http://bugsen.freeiz.com/,,,0,,
Business Windows,びじねすういんどうず,http://businesswindows.iza-yoi.net/,エレクトロニカ,,桜梅桃李 - ou bai tou ri -,原曲維持,ゆったりとしたBGM系アレンジ。（Black）
C.H.S,しーえいちえす,http://c-h-s.me/,ハードコア、テクノ、トランス,女,Unlimited Spark!,原曲破壊,ビートは比較的軽めにテクニカルな旋律がばっちりはまる。（Black）
C.S.C→luv,しーえすしーらぶ,http://www.sound.jp/csc-luv/,テクノ、ドラムンベース,,東方NEW WAVE,原曲維持,多彩なテクノアレンジは手堅くBGMにお勧め。（Black）
℃@non,かのん,http://zyuusyakanon.blog53.fc2.com/,ピアノ,,℃on sentimento,原曲重視,生演奏ピアノでシンプルに。（Black）
C9,しーないん,http://www.geocities.jp/c9_cirwo/,テクノ、トランス、ハウス、エレクトロ,女,博麗踊跳曲蒐,原曲維持～破壊,シンプルなクラブ系テイストあふれる「ノれる」アレンジ。（Black）
Cadd⑨th,しーあどないんす,http://cadd9th.blog102.fc2.com/,ロック,男,ファイブ オブ アカインド,原曲維持,粗削りもシンプルな作りのロックボーカルアレンジ。（Black）
Camphor,かんふる,http://camphor0000.blog11.fc2.com/,ダンス、トランス,,remix to TOHO Project soundtrack works,原曲破壊,透明感あるトランス。（Black）
Capricious egoist,かぷりしおうすえごといすと,http://26310.flashhp.net/,ロック,男,終始色　－モノクロ－,原曲維持,聞きやすい男性ボーカル。耳にすんなりと入ってきて聞き心地がよい。(浅葱)
Carbonic Acid,かーぼにっくあしっど,http://tansanca.futene.net/,ロック,男,Melody of Calamity,原曲維持,それほど激しくないロックのメロに乗って伸び伸びと歌う男声ボーカル。（和泉）
CarrotWine.(趣味工房にんじんわいん),きゃろっとわいん(しゅみこうぼうにんじんわいん),http://carrotwine.muse.bindsite.jp/,オーケストラ、エレクトロ、,女,桜　―SAKURA―　紅響楼閣,原曲維持,クラシック、オーケストラアレンジの技術は抜群。（Black）
Casket,きゃすけっと,http://www.yukinohana.net/~casket/,民族、エレクトロニカ,,幻想パブ:午後6時,原曲維持,アイリッシュ風民族アレンジが軽やか。（Black）
Cat Styles,きゃっとすたいるす,,テクノ、エレクトロ、ドラムンベース,女,RosenGarten,原曲維持,テクノ・エレクトロ系の打ち込みに硬めの女性ボーカル。（Black）
CC*=Style ,しーつーすたいる,http://c2-style.net/,トランス,,Crimson Reflection,原曲維持,ユーフォリック系の透き通るトランスが印象的。（Black）
C-CLAYS,しーくれいす,http://www.c-clays.com/,ダンス、ポップス、ロック,女,東方雪花,原曲維持,そこそこ安定した女性ボーカルに高い技術で多彩なアレンジは手堅い。（Black）
Chaos Concerto,かおすこんさーと,,テクノ、ロック、エレクトロ,男女,幻想妖音蒐,原曲維持～破壊,3サークル合同のマルチジャンル。全体的に疾走感。（Black）
Chaos Core Recordings,かおすこあれこーでぃんぐす,http://chaos-core.com/,ロック、クラシック、テクノ,,東方精神裁判,原曲維持～破壊,重厚なアレンジで固めたマルチジャンル。（Black）
CHAOS　MIXER,かおすみきさー,http://chaosmix.net/,,,TOHO CHAOS MIX2,,
ChaoticNoisySound,かおてぃっくのいじぃさうんど,http://s-cns.net/,テクノ、トランス、ハードコア,,FanaticalTohoRave,原曲重視,標準的なトランス。(麦)
charge of uniform,ちゃーじおぶゆにふぉーむ,,,,Red Herring -Practice mode-,,
CHEER☆FACTORY,ちあーふぁくとりー,,,,Gorgeous avenger,,
Cherry　Lunaburst,ちぇりーるなぶらすと,http://cherryluna.exblog.jp/,クラシック,,東方アッチェレランド,原曲重視,クラシックの楽器で生演奏の熱意に敬意。（Black）
Cherry Sound,ちぇりーさうんど,http://sound.jp/cherrysound/,テクノ、クラシック,,Beginning,原曲維持,1曲だけだがシンプルに駆け抜ける。（Black）
CHESS,ちぇす,,ハードロック,,翠,原曲維持,
chipion,ちっぷいおん,,エレクトロポップ,男女,ELECTRiC Re:ViEW,原曲維持,エレクトロポップが華やかに。（Black）
ChongYoke,ちょんよーく,http://chongyoke.web.fc2.com/,ロック、チップチューン、エレクトロ,女,Xanadu,原曲維持,穏やかなロックアレンジに女声ボーカル。電子打ち込み系インストも。（Black）
Chroma。,くろま,http://cydec3.web.fc2.com/,テクノ、トランス、エレクトロ、ロック、ユーロビート,,東方道中膝栗毛-In the Far East Journey-,原曲重視,原曲メロの高速パッセージと定番トランス進行がうまくはまるテクノトランス系。（Black）
Circadian,さーかでぃあん,http://teadrops.jp/ccdn0001/index.html,ロック,女,逆夢Projection,原曲維持,通天とminteaの合体サークル。ロックアレンジに女声ボーカル。（Black）
Circle FMPSG,さーくるえふえむぴーえすじー,http://taka-p.homeip.net/fmpsg/,テクノ、チップチューン,,FMPSG009 -Remember the chiptune-,原曲重視,技術的に手堅いチップチューンは東方アレンジ以外の楽曲もお勧め。（Black）
Circle S&G,さーくるえすあんどじー,http://www.h2.dion.ne.jp/~sandg2/,テクノ、エレクトロ,,東方Destroy,原曲維持,原曲メロを活かしたシンプルな打ち込み。（Black）
Cis-Trance ,しすとらんす,http://technetium.jp/ ,ハードコア、ダンス,女,東方硬核夜,原曲維持,原曲メロを活かしつつ高速でぶっちぎるハードコア。（Black）
clear quartz,くりあくぉーつ,http://clearquartz.sakura.ne.jp/,メタル,,東方響乱樂,原曲維持,
Clock Rock,くろっくろっく,,エレクトロニカ,,1st 白昼夢 DayDream,原曲維持,
clocknote.,くろっくのーと,http://clocknote.net/,ピアノ,,Bergamot;f60,原曲維持,
Cloister Notes,くろいすたーのーつ,http://whitewingofrushana.web.fc2.com/,,,Reverbiration mind,,
Clonesoldier's Factory,くろーんそるじゃーずふぁくとりー,http://sound.jp/clonesoldier/,ハウス、エレクトロ、クラシック、エレクトロニカ,,DOUBLE IGNITION,原曲維持,力強い音遣いが印象的なマルチジャンル。（Black）
Clonesoldier's Factory,くろーんそるじゃーずふぁくとりー,http://sound.jp/clonesoldier/,テクノ、エレクトロ、オーケストラ,,DOUBLE IGNITION,原曲維持,尖ったテクノ系あり壮大なオケ風味ありのマルチジャンルインストアレンジ。（和泉）
Closed Circus,くろーずどーさーかす,http://closedcircus.web.fc2.com/,ロック、バンド,女,遺された者,原曲重視,珍しい女性ヴォーカルでのロックバンドサークル。（鰻）
CLOSED/UNDERGROUND,くろーずどあんだーぐらんど,http://www.rekka.jp/,,女,"FLYING ARTILLERIST - get ready, already.",原曲維持,ボーカルはやはり上手い。曲調もテンポ良く、楽しく聞ける。(鰻)
CM11,しーえむ11,http://www.cm11.net/,テクノ、エレクトロ、ポップス、ハードロック、民族,女,11 Colors,原曲維持,大勢のアレンジャーによる多彩なマルチジャンルアレンジ。（Black）
CODE ZTS LABEL,こーどぜっつれーべる,http://www.codeztslabel.com/,エレクトロ、トランス,,Selfregards2,原曲維持～破壊,
CODE-49,こーど49,http://lv4.gozaru.jp/,ダンス、トランス,,東方電脳街,原曲維持,
ColorfulCube,からふるきゅーぶ,http://www5f.biglobe.ne.jp/~colorful_cube/,テクノ、ロック,,Pieces of Antinomy Mind,原曲重視～維持,原曲メロに沿ってギターや打ち込みを手堅くこなす。（Black）
ComicFishing　東方同人堂,こみっくふぃっしんぐとうほうどうじんどう,http://www.comicfishing.com/,ダンス、トランス,,盈月纪年,原曲維持～破壊,台湾からテクノトランスをひっさげて殴り込み。（Black）
compllege,こんぷれーじゅ,http://www.compllege.com/,ダンス、トランス,,Zenith,原曲破壊,
CONCORDE,こんこるど,http://utagemusic.net/concorde/,ハードロック、メタル,,東方AAA! REVENGE!!,原曲維持,ノリやすい端正なハードロック、メタル生演奏アレンジに好感。（和泉）
Contrast,こんとらすと,,テクノ、ダンス,,咲乱舞曲,原曲維持～破壊,
COOL&CREATE,くーるあんどくりえいと,http://cool-create.cc/,ダンス、ポップス、ロック,男女,東方ストライク,原曲維持,陽気なアレンジに陽気なボーカル、水準も高く聴いていて楽しくなる。（Black）
coolier,くーりえ,http://www5d.biglobe.ne.jp/~coolier2/,ポップス、テクノ,男女,ゆかりんファンタジア,原曲維持,毎回多彩なアレンジャーによるマルチジャンル。（Black）
COR-TEN,こーるてん,,ロック、テクノ、トランス,男女,period.,原曲維持,トランス風女声ボーカルありシンプルなエレキギターロックインストあり。（Black）
CPY,しーぴーわい,http://cpy.sblo.jp/,,,Mari-ON!!,,
Crazy Berry,くれいじーべりー,,ロック、エレクトロ、ポップス,女,くるいちご,原曲維持,様々なジャンルのアレンジに様々な表情を見せる、アップテンポもしっとり系も安定した女声ボーカル。（Black）
Crazy Voltage,くれいじーぼるてーじ,http://crv.sakura.ne.jp/,メタル,,Fragment of Books,原曲破壊,疾走感あふれる気持ちいいメタル。（Black）
Creative Union,くりえいてぃぶゆにおん,http://creativeunion.koborezakura.com/,トランス、テクノ、エレクトロ,,Invitation,原曲維持,素直でシンプルなトランス成分多め。（和泉）
Creatronic ,くりえいとろにっく,http://creatronic.sakura.ne.jp/,,,東方五角星,,
CREST,くれすと,http://crest-music.net/,テクノ、エレクトロ、ポップス、ロック、ジャズ,男女,CORE,原曲維持,有名どころのサークルが集まった端正なマルチジャンル男女ボーカルはキャッチ―で聞きやすい。（Black）
