Gender,Age,Race,Professional Field,Professional Status,Degree Status,Relationship Status,Political Views,Religious Views,Religious Background,Religious Background 2,IQ,OB posts,-------------------------------------------------------------------------------------------------------------------------,Time in Community,Time per day,LW Karma,Probability: MWI,Probability: Aliens,Probability: Aliens 2,Probability: God,Probability: God 2,Probability: Supernatural,Probability: Cryonics,Probability: Anti-Agathics,Probability: Simulation,Three Worlds Ending,Robin vs. Eliezer Singularity,Singularity: Year,Classic Prisoner's Dilemma,"Eliezer's ""True"" Prisoner's Dilemma",Probability: High IQ,Private,Counterfactual Mugging,Existential Risk 2,-------------------------------------------------------------------------------------------------------------------------,Cryonics,Participation,Moral value,Probability: Global Warming,Expertise,Probability: Existential Risk,Charity,Moral Views,Calibration 1,Calibration 2
Male,26,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Single (and looking),Welfare Capitalist,"Atheist, and not ""spiritual""",Family was less religious than average,Protestants,,3.%,.,3,45,8,30.%,90.%,30.%,0.%,0.%,0.%,10.%,30.%,30.%,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2060,Cooperate,Defect,,,Don't,Pandemic (natural),.,"No, and don't plan to",,"My moral system doesn't work like this, or I choose not to answer",90.%,,98.%,No opinion,Consequentialist (generic interpretation),1840,1.%
Male,19,Asian,Psychology,Student,B. S.,Single (but not looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,138,"all of eliezer's, most of robin's",,6,20-30,1,,1,0.00000001,0,0,0,90,99,50,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2035,Cooperate,Defect,60,,Give Omega $100,Unfriendly AI,.,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Higher primates (eg chimps)",75,Psychology and Neurology,50,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1840,20
Male,17,Hispanic,None / Decline to answer,Student,None,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Catholic,136,5,,16,5,,10,99,80,1,1,0,99,7,19,No preference / Didn't read it,No preference / Don't believe in the Singularity,,,No preference / Depends / Don't understand,69,,No preference / Depends / Don't understand,Nuclear war,,"No, never thought about it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",72,,88,"Possibly true, but only for a few outstanding charities",,1845,10
Male,26,White (non-Hispanic),Statistics,Student,Ph. D.,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was extremely religious,Protestant,,,,0,0,,50,99.999,98,0,0,0,50,0,1,No preference / Didn't read it,No preference / Don't believe in the Singularity,,Defect,Defect,,,Don't,Asteroid strike,,"No, but considering it",,"Healthy, productive, adult humans, Infants, Fetuses, Embryos",0,"World affairs, Math and Physics",99.9,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1850,1
Male,24,White (non-Hispanic),"Other computing, Other Hard Sciences",Other non-profit work,B. S.,Single (but not looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was explicitly atheist,,155,"100% of Eliezer, 50% of Robin",,18,40,15,99,80,40,0,1,0,30,40,5,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2060,No preference / Depends / Don't understand,No preference / Depends / Don't understand,50,,Give Omega $100,Unfriendly AI,,"No, but considering it",Technology,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",80,"Math and Physics, AI",70,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1850,10
Male,23,Asian,Other computing,Student,Masters,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,145,800,,16,30,,,2,1,0,0,0,20,10,,No preference / Didn't read it,No preference / Don't believe in the Singularity,2200,Defect,Defect,60,,Don't,Nuclear war,,"No, but considering it",Atheism,"My moral system doesn't work like this, or I choose not to answer",99,Math and Physics,50,"Possibly true, but only for a few outstanding charities",,1850,10
Male,27,White (non-Hispanic),,Student,Masters,Single (and looking),,"Atheist, and not ""spiritual""",Family was extremely religious,Catholic,,10.%,,6,30,,40,0.001 (for nonterrestrial intelligent life),1E-012,infinitesimal^2 but nonzero,infinitesimal^3 but nonzero,infinitesimal but nonzero,30.%,90.%,30.%,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2060,No preference / Depends / Don't understand,No preference / Depends / Don't understand,,,Give Omega $100,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90.%,,70.%,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",,1850,15.%
Male,30,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, but ""spiritual""",Family was nonreligious,,140,40,.,12,10,,20,50,20,50,60,50,20,10,10,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2800,No preference / Depends / Don't understand,No preference / Depends / Don't understand,50,,Give Omega $100,Pandemic (natural),.,"No, and don't plan to","Skepticism, Political debate, Spirituality/Religion","My moral system doesn't work like this, or I choose not to answer",60,"Economics, Math and Physics, Psychology and Neurology, Philosophy",70,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1850,20
Male,28,White (non-Hispanic),Other Hard Sciences,Student,B. A.,Single (and looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Christian,,50,.,16,30,,75,90,5,10,1,10,10,10,10,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2150,Defect,Defect,,,No preference / Depends / Don't understand,Nuclear war,.,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps)",80,"Economics, World affairs, Energy/pollution/environment, Biology and Medicine, Philosophy",80,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1850,5
Male,22,White (non-Hispanic),Other Hard Sciences,Student,Ph. D.,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,100,,24,30,6,40,99,1,0,0,0,5,1,,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2200,No preference / Depends / Don't understand,Defect,,,Don't,Asteroid strike,.,"No, but considering it",Atheism,"Healthy, productive, adult humans, Healthy, unproductive adult humans",90,Math and Physics,90,"Possibly true, but only for a few outstanding charities","Something like consequentialism, but don't remember the 'generic interpretation' to remember how it differs from Eliezer's and to decide which one best describes me",1850,10
Male,23,White (non-Hispanic),Other Hard Sciences,Student,Ph. D.,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Jewish,140,4,,8,20,22,70,80,10,5,1,0,5,50,1,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,2035,Cooperate,Defect,40,,Don't,Unfriendly AI,,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps)",30,Math and Physics,50,No opinion,Don't believe in morality,1850,1
Male,20,White (non-Hispanic),Electrician,Other for-profit work,None,Single (but not looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Lutheran,,80.%,,24,20,5,90,99,50,1,0.01,1,90,80,50,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2040,Cooperate,Defect,,,No preference / Depends / Don't understand,Pandemic (natural),,"No, but considering it",Technology,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",90,,20,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1850,30
Male,22,White (non-Hispanic),Other Hard Sciences,Student,Masters,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,80,.,24,20,,80,,,0,0,0,50,5,,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Defect,Defect,,,Give Omega $100,Unfriendly AI,.,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans",50,Math and Physics,90,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1850,8
Male,24,White (non-Hispanic),Other computing,Student,Masters,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Catholic,,15,,8,35,6,75,99.9,95,0,0,0,20,50,10,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2045,No preference / Depends / Don't understand,No preference / Depends / Don't understand,,,No preference / Depends / Don't understand,Unfriendly AI,,"No, but considering it","Political debate, Technology, Entrepreneurship","My moral system doesn't work like this, or I choose not to answer",90,,95,"True, for most normal charities (eg UNICEF)",Don't believe in morality,1850,10
Female,28,White (non-Hispanic),"Philosophy, Artificial Intelligence, a math BA; some competence there.",Other non-profit work,B. S.,Single (and looking),high error bars; also nearly indifferent compared to axes that more directly impact existential risk.,"Atheist, and not ""spiritual""",Family was nonreligious,,152+,0.85,,19,60,800,,5,1 [assuming you exclude other Earth animals; otherwise 20],4,0.005,2.5,8,13,80,,Eliezer's: A singleton AI suddenly reaching singularity status,2050,No preference / Depends / Don't understand,No preference / Depends / Don't understand,58,,Give Omega $100,Unfriendly AI,,"No, but considering it",Transhumanism,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",85,"AI, Psychology and Neurology, Philosophy",17,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1855,21
Male,22,,Other computing,Unemployed,Masters,Single (and looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,70,,18,45,445,70,90,60,5,1,20,25,40,50,Humans blow up Huygens,Robin's: Whole brain emulations gradually reaching singularity status,2050,Cooperate,Defect,,,Give Omega $100,Pandemic (natural),,"No, but considering it",Technology,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",90,"Economics, World affairs, Law, Energy/pollution/environment, Math and Physics, AI, Psychology and Neurology, Philosophy",60,"Possibly true, but only for a few outstanding charities","An action is immoral iff to a disintersted observer with all relevant information, it signals a tendency to defect in PD-like situations",1860,15
Male,18,White (non-Hispanic),Other computing,Student,B. S.,Single (and looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,60% read all eliezers,.,1 year,20 minutes,23,0.7,0.8,0.5,0,0,0,0.8,0.1,0.3,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2070,Cooperate,Defect,,,Don't,"Nanotechnology/""Grey goo""",.,"No, but considering it","Atheism, Skepticism, Political debate","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",0.95,Philosophy,0.7,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1860,30.%
Male,24,White (non-Hispanic),Other Hard Sciences,Student,Masters,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)",Lukewarm theist,Family was extremely religious,Evangelical Christian,,70,,24,10,,75,25,1,25,25,1,5,30,20,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2060,Cooperate,No preference / Depends / Don't understand,45,,No preference / Depends / Don't understand,"Nanotechnology/""Grey goo""",,"No, and don't plan to",Spirituality/Religion,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Embryos, Higher primates (eg chimps)",60,"Energy/pollution/environment, Math and Physics",45,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1865,45
Male,25,White (non-Hispanic),mathematics (why isn't that there?),Student,Ph. D.,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,160,50,,18,40,89,98,1,0.1,0,0,0,1,0.1,0,No preference / Didn't read it,No preference / Don't believe in the Singularity,,Cooperate,Cooperate,60,,Don't,Environmental catastrophe (eg global warming),,"No, but considering it",Atheism,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Embryos, Higher primates (eg chimps), Other animals",99,"Economics, Energy/pollution/environment, Math and Physics, Biology and Medicine, Psychology and Neurology, Philosophy",95,"True, for most normal charities (eg UNICEF)",Consequentialist (generic interpretation),1865,10
Male,28,White (non-Hispanic),Other Social Sciences,"Academic (on the teaching end, not the student end)",Masters,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,Lutheran,140,95,,28,40,10,90,,,1,0.01,10,40,40,5,Humans blow up Huygens,Robin's: Whole brain emulations gradually reaching singularity status,2150,Cooperate,Cooperate,40,,Give Omega $100,Asteroid strike,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",65,"Economics, Math and Physics",99.5,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1870,40
Male,32,middle east,engineering,Other for-profit work,Ph. D.,Married,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,islam,140,20,,6,20,0,10,40,1,1,0,2,5,10,10,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2100,No preference / Depends / Don't understand,No preference / Depends / Don't understand,20,,Give Omega $100,Environmental catastrophe (eg global warming),,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps)",80,,80,"Possibly true, but only for a few outstanding charities",Deontologist,1870,20
Male,20,White (non-Hispanic),Psychology,Student,B. S.,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,10-20%,.,16,20,20,,0.1,0.001,0.0001,0,0.001,0.01,1,0.0001,No preference / Didn't read it,No preference / Don't believe in the Singularity,2120,Cooperate,Defect,,,Don't,Nuclear war,.,"No, and don't plan to",,"My moral system doesn't work like this, or I choose not to answer",60,Psychology and Neurology,80,"True, for most normal charities (eg UNICEF)",Don't believe in morality,1870,10
Male,29,,Other Hard Sciences,Student,Ph. D.,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Jewish,171,90% (read RSS feed; skim some),.,~7,15,15,99,100,98,1,0 (discounting Buddhism and similar),15 (would involve some anthropic quirk of MWI),50,90,0/100 (both possibilities are jointly realised),No preference / Didn't read it,Robin's: Whole brain emulations gradually reaching singularity status,2040,Cooperate,Defect,90,,Don't,Environmental catastrophe (eg global warming),.,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",95,"Math and Physics, Biology and Medicine, Philosophy",70,"True, for most normal charities (eg UNICEF)",Deontologist,1870,10
Male,23,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Non-denominational Christian,,100,.,16,30,26,60,10,0.001,0.0000001,0,0.0001,20,40,50,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2060,Defect,Cooperate,,,Give Omega $100,Pandemic (bioengineered),.,"No, but considering it","Atheism, Skepticism, Political debate","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90,Math and Physics,33,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1870,30
Male,23,White (non-Hispanic),Economics/Finance,Other for-profit work,B. S.,Single (and looking),,"Atheist, and not ""spiritual""",Family was about average religiousity,catholic,,30,,9,30,0,1,10,5,0,0,0,5,0.5,0.5,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,1000000,No preference / Depends / Don't understand,Defect,10,,Don't,Pandemic (bioengineered),,"No, but considering it",Entrepreneurship,"Healthy, productive, adult humans, Infants",20,Economics,80,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1870,1
Male,25,White (non-Hispanic),Other Hard Sciences,Unemployed,Masters,Single (and looking),"part libertarian, part communism","Atheist, and not ""spiritual""",Family was less religious than average,Catholicism,,"55 ; 90 % Eliezer, 20 % Robin",,24,30,186,,100,,0,0,0,100,100,,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2070,Cooperate,Defect,,,Don't,Pandemic (bioengineered),,"No, but considering it",Transhumanism,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90,"Biology and Medicine, Psychology and Neurology, Philosophy",90,"Possibly true, but only for a few outstanding charities","Eliezer's consequentialism, but with more selfishness",1875,33
Male,18,Human,"Philosophy, Psychology, Other Social Sciences",Student,B. S.,Single (but not looking),,Agnostic,Family was less religious than average,Christian,141,25.%,,3,20-30,,85.%,35.%,5.%,0.%,16.%,5.%,50.%,85.%,32.%,Humans blow up Huygens,Robin's: Whole brain emulations gradually reaching singularity status,2050,Cooperate,Cooperate,75.%,,Don't,Pandemic (bioengineered),,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",85.%,"World affairs, Philosophy",90.%,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1875,25.%
Male,44,Human,Business,Other for-profit work,Masters,Married,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,132,10,,6,7,5,65,99,0,0,0,0,5,1,1,No preference / Didn't read it,Robin's: Whole brain emulations gradually reaching singularity status,2250,No preference / Depends / Don't understand,Defect,50,,Don't,Pandemic (bioengineered),,"No, and don't plan to","Atheism, Skepticism, Political debate, Technology, Entrepreneurship","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",75,"Economics, World affairs, Law, Energy/pollution/environment",99,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1875,50
Male,25,White (non-Hispanic),Other computing,Student,Masters,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Christianity,,90.%,,12,30,,,,,<0.1%,<0.1%,<0.1%,5.%,25.%,,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Defect,,,,Give Omega $100,Pandemic (bioengineered),,"No, but considering it","Transhumanism, Pick up artists","Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants",75.%,,50.%,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1875,20.%
