"Year","PCryonics","KarmaScore","CryonicsStatus","Sequences","TimeonLW","Meetups","LessWrongUse","HPMOR"
2009,0.05,0,"No, and don't plan to",NA,0,FALSE,NA,NA
2009,0.75,180,"No, and don't plan to",95,60,FALSE,NA,NA
2009,0.03,130,"No, but considering it",40,80,FALSE,NA,NA
2009,0.33,NA,"No, but considering it",60,30,FALSE,NA,NA
2009,0.1,NA,"No, and don't plan to",40,10,FALSE,NA,NA
2009,0.2,NA,"No, but considering it",10,20,FALSE,NA,NA
2009,0.01,233,"No, and don't plan to",20,45,FALSE,NA,NA
2009,0.25,NA,"No, but considering it",10,30,FALSE,NA,NA
2009,NA,NA,"No, but considering it",10,30,FALSE,NA,NA
2009,0.6,215,"No, but considering it",95,30,FALSE,NA,NA
2009,0.05,0,"No, but considering it",10,30,FALSE,NA,NA
2009,0.01,NA,"No, but considering it",40,300,FALSE,NA,NA
2009,0.7,80,"No, but considering it",95,NA,FALSE,NA,NA
2009,0.2,20,"No, but considering it",33,60,FALSE,NA,NA
2009,0.02,0,"No, never thought about it",NA,5,FALSE,NA,NA
2009,0.02,50,"No, but considering it",80,20,FALSE,NA,NA
2009,0.5,34,"No, but considering it",NA,NA,FALSE,NA,NA
2009,0.23,1,"No, but considering it",70,25,FALSE,NA,NA
2009,0.1,NA,"No, and don't plan to",20,10,FALSE,NA,NA
2009,0.23,NA,"No, and don't plan to",85,30,FALSE,NA,NA
2009,0.1,NA,"No, and don't plan to",10,20,FALSE,NA,NA
2009,0.5,0,"No, but considering it",NA,45,FALSE,NA,NA
2009,0.1,7,"No, but considering it",20,30,FALSE,NA,NA
2009,NA,179,"No, but considering it",50,40,FALSE,NA,NA
2009,NA,110,"No, but considering it",7,90,FALSE,NA,NA
2009,0.02,300,"No, and don't plan to",40,NA,FALSE,NA,NA
2009,0.1,0,"No, but considering it",50,20,FALSE,NA,NA
2009,0.05,0,"No, but considering it",10,10,FALSE,NA,NA
2009,0.1,0,"No, and don't plan to",40,15,FALSE,NA,NA
2009,0.5,7,"No, and don't plan to",40,30,FALSE,NA,NA
2009,0,NA,"No, and don't plan to",NA,0,FALSE,NA,NA
2009,0.15,48,"No, but considering it",80,60,FALSE,NA,NA
2009,0.2,120,"No, but considering it",90,30,FALSE,NA,NA
2009,1e-04,50,"No, but considering it",30,20,FALSE,NA,NA
2009,0.3,NA,"No, but considering it",40,30,FALSE,NA,NA
2009,0.01,NA,"No, but considering it",8,25,FALSE,NA,NA
2009,0.5,53,"No, but considering it",10,5,FALSE,NA,NA
2009,0.2,0,"No, but considering it",80,20,FALSE,NA,NA
2009,0.99,NA,"No, but considering it",NA,NA,FALSE,NA,NA
2009,0.5,3,"No, but considering it",95,15,FALSE,NA,NA
2009,0.8,NA,"No, but considering it",90,10,FALSE,NA,NA
2009,0.75,NA,"No, never thought about it",NA,10,FALSE,NA,NA
2009,0.15,NA,"No, but considering it",40,20,FALSE,NA,NA
2009,0.005,2,"No, and don't plan to",50,30,FALSE,NA,NA
2009,NA,0,"No, but considering it",60,30,FALSE,NA,NA
2009,0.4,1097,"No, but considering it",40,120,FALSE,NA,NA
2009,NA,16,"No, but considering it",25,40,FALSE,NA,NA
2009,0.45,NA,"No, but considering it",10,30,FALSE,NA,NA
2009,0.05,58,"No, but considering it",30,60,FALSE,NA,NA
2009,0.15,0,"No, but considering it",15,10,FALSE,NA,NA
2009,0,600,"No, and don't plan to",99,30,FALSE,NA,NA
2009,5e-05,NA,"No, but considering it",20,25,FALSE,NA,NA
2009,NA,NA,"No, but considering it",20,45,FALSE,NA,NA
2009,NA,0,"No, never thought about it",90,15,FALSE,NA,NA
2009,NA,NA,NA,NA,NA,FALSE,NA,NA
2009,0.05,0,"No, never thought about it",50,60,FALSE,NA,NA
2009,NA,NA,NA,NA,20,FALSE,NA,NA
2009,0.1,NA,"No, but considering it",40,20,FALSE,NA,NA
2011,0,NA,"Yes - signed up or just finishing up paperwork",NA,30,TRUE,NA,NA
2011,0.1,31,"No, but considering it",75,30,TRUE,NA,NA
2011,0.1,218,"No, but considering it",75,30,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",75,30,TRUE,NA,NA
2011,NA,NA,NA,NA,NA,FALSE,NA,NA
2011,0.67,47,"Never thought about it / don't understand",25,60,TRUE,NA,NA
2011,0,NA,"No, but considering it",75,NA,FALSE,NA,NA
2011,NA,NA,NA,NA,NA,FALSE,NA,NA
2011,NA,NA,NA,NA,NA,FALSE,NA,NA
2011,0.1,22,"No, but considering it",75,5,FALSE,NA,NA
2011,0.8,NA,"No, but considering it",25,15,FALSE,NA,NA
2011,0.3,NA,"No, but considering it",25,NA,FALSE,NA,NA
2011,0.01,4,"No, but considering it",75,15,FALSE,NA,NA
2011,0.2,NA,"No, but considering it",NA,60,FALSE,NA,NA
2011,0.87,0,NA,25,60,FALSE,NA,NA
2011,0.01,NA,"No, but considering it",NA,NA,FALSE,NA,NA
2011,0,NA,"No, and not planning to",25,60,FALSE,NA,NA
2011,0.97,0,"No, but considering it",50,20,FALSE,NA,NA
2011,1,NA,"No, but considering it",25,45,FALSE,NA,NA
2011,0.08,0,"Never thought about it / don't understand",25,40,FALSE,NA,NA
2011,NA,10,"No, but considering it",50,40,FALSE,NA,NA
2011,0.05,160,"No, but considering it",NA,5,FALSE,NA,NA
2011,0.4,140,"No, but considering it",NA,10,FALSE,NA,NA
2011,0.2,NA,"No, but considering it",75,20,TRUE,NA,NA
2011,0.4,NA,"No, but considering it",NA,60,FALSE,NA,NA
2011,0.7,7,"No, and not planning to",NA,30,FALSE,NA,NA
2011,0.2,NA,"Never thought about it / don't understand",25,1,FALSE,NA,NA
2011,0.46,NA,"No, but considering it",25,150,FALSE,NA,NA
2011,0.25,15,"No, and not planning to",50,20,FALSE,NA,NA
2011,0.9,NA,"No, but considering it",25,30,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",25,15,FALSE,NA,NA
2011,0.01,NA,"No, but considering it",25,0,FALSE,NA,NA
2011,0.5,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.3,36,"No, but considering it",25,30,FALSE,NA,NA
2011,0.75,NA,"No, and not planning to",25,20,FALSE,NA,NA
2011,0.4,80,"No, but considering it",75,40,FALSE,NA,NA
2011,0.05,900,"No, but considering it",NA,45,FALSE,NA,NA
2011,0.4,1,"No, but considering it",50,50,FALSE,NA,NA
2011,NA,3,"No, but considering it",50,10,FALSE,NA,NA
2011,0.01,191,"No, but considering it",25,60,FALSE,NA,NA
2011,0.55,13,"No, but considering it",75,55,FALSE,NA,NA
2011,0,NA,"No, and not planning to",NA,3,FALSE,NA,NA
2011,0.5,315,"No, and not planning to",NA,25,FALSE,NA,NA
2011,0.12,46,"No, but considering it",75,30,FALSE,NA,NA
2011,0.02,200,"No, and not planning to",NA,30,FALSE,NA,NA
2011,NA,NA,NA,25,NA,FALSE,NA,NA
2011,0.01,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.7,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,0.2,7,"No, and not planning to",25,1,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,0,NA,"No, but considering it",25,30,FALSE,NA,NA
2011,0.9,4,"No, but considering it",25,60,TRUE,NA,NA
2011,0.4,7,"No, but considering it",50,30,FALSE,NA,NA
2011,0.55,0,"No, but considering it",50,NA,TRUE,NA,NA
2011,0.1,NA,"No, but considering it",50,20,FALSE,NA,NA
2011,0.3,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.1,0,"No, but considering it",NA,60,FALSE,NA,NA
2011,0,NA,"No, and not planning to",25,20,FALSE,NA,NA
2011,0,0,"No, but considering it",75,20,FALSE,NA,NA
2011,0.9,130,"No, but considering it",50,30,FALSE,NA,NA
2011,0.02,20,"Yes - signed up or just finishing up paperwork",75,30,FALSE,NA,NA
2011,0,323,"No, but considering it",NA,45,FALSE,NA,NA
2011,0,NA,"No, but considering it",NA,30,FALSE,NA,NA
2011,0.4,NA,"No, but considering it",75,30,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,0.35,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,NA,NA,NA,50,NA,FALSE,NA,NA
2011,0.2,NA,"No, and not planning to",75,5,FALSE,NA,NA
2011,0.5,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.99,NA,"No, and not planning to",NA,10,FALSE,NA,NA
2011,0,NA,"No, but considering it",NA,30,FALSE,NA,NA
2011,0,11,"No, but considering it",25,20,FALSE,NA,NA
2011,0.1,NA,"No, and not planning to",25,6,FALSE,NA,NA
2011,0.2,16,"No, but considering it",50,10,TRUE,NA,NA
2011,0,0,"No, and not planning to",75,30,FALSE,NA,NA
2011,0,NA,"No, but considering it",75,30,TRUE,NA,NA
2011,0.15,432,"No, but considering it",75,15,TRUE,NA,NA
2011,0.08,67,"No, but considering it",50,240,FALSE,NA,NA
2011,0,NA,"No, and not planning to",NA,NA,FALSE,NA,NA
2011,NA,NA,"No, but considering it",50,10,FALSE,NA,NA
2011,0.4,0,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.05,NA,"No, and not planning to",50,45,FALSE,NA,NA
2011,0.15,NA,"No, and not planning to",NA,15,FALSE,NA,NA
2011,0.3,0,"No, but considering it",25,20,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,0.22,NA,"No, but considering it",25,15,FALSE,NA,NA
2011,0.5,NA,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",25,7,FALSE,NA,NA
2011,0.8,0,"No, but considering it",25,20,FALSE,NA,NA
2011,0.15,0,"No, but considering it",50,3,FALSE,NA,NA
2011,0.05,32,"No, but considering it",NA,NA,FALSE,NA,NA
2011,0.2,NA,"No, but considering it",75,5,TRUE,NA,NA
2011,NA,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0,NA,"No, and not planning to",50,NA,TRUE,NA,NA
2011,0.3,22,"No, but considering it",75,NA,FALSE,NA,NA
2011,0.05,700,"No, but considering it",75,37,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",NA,60,FALSE,NA,NA
2011,0.01,NA,"No, and not planning to",NA,10,FALSE,NA,NA
2011,0.3,140,"No, but considering it",25,60,FALSE,NA,NA
2011,0,NA,"No, but considering it",50,15,FALSE,NA,NA
2011,0.1,NA,"No, but considering it",NA,30,FALSE,NA,NA
2011,0.9,166,"No, but considering it",50,20,FALSE,NA,NA
2011,0.02,28,"No, and not planning to",50,20,TRUE,NA,NA
2011,0.5,99,"No, but considering it",75,30,TRUE,NA,NA
2011,0,34,"No, and not planning to",25,60,FALSE,NA,NA
2011,0.05,90,"No, but considering it",75,30,TRUE,NA,NA
2011,0.6,NA,"No, but considering it",75,15,FALSE,NA,NA
2011,0.95,3,"No, but considering it",50,5,FALSE,NA,NA
2011,0.08,220,"No, but considering it",75,10,TRUE,NA,NA
2011,0.1,270,"No, but considering it",NA,20,TRUE,NA,NA
2011,0.1,NA,"No, and not planning to",50,5,FALSE,NA,NA
2011,0.4,7,"No, but considering it",NA,20,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",50,15,FALSE,NA,NA
2011,0.25,68,"No, but considering it",50,60,FALSE,NA,NA
2011,0.4,25,"No, but considering it",NA,45,FALSE,NA,NA
2011,0.2,NA,"No, but considering it",NA,30,TRUE,NA,NA
2011,NA,0,"No, but considering it",NA,15,TRUE,NA,NA
2011,0.05,13,"No, but considering it",75,30,TRUE,NA,NA
2011,0.1,50,"No, but considering it",25,10,FALSE,NA,NA
2011,0.75,10,"No, but considering it",50,20,TRUE,NA,NA
2011,0.4,NA,"No, but considering it",25,30,FALSE,NA,NA
2011,0,103,"No, but considering it",75,20,TRUE,NA,NA
2011,0.3,6,"No, and not planning to",50,10,FALSE,NA,NA
2011,0,NA,"No, and not planning to",NA,120,FALSE,NA,NA
2011,0.1,NA,"No, but considering it",50,10,FALSE,NA,NA
2011,0.99,NA,"No, but considering it",50,30,FALSE,NA,NA
2011,0.8,NA,"No, and not planning to",50,20,FALSE,NA,NA
2011,NA,4,"No, and not planning to",NA,20,FALSE,NA,NA
2011,0.8,0,"No, but considering it",25,3,FALSE,NA,NA
2011,0.4,29,"No, but considering it",50,20,FALSE,NA,NA
2011,0.5,NA,"No, but considering it",25,NA,FALSE,NA,NA
2011,0.5,0,"No, but considering it",50,60,FALSE,NA,NA
2011,0.01,1,"No, but considering it",25,5,FALSE,NA,NA
2011,0.2,90,"No, and not planning to",NA,100,FALSE,NA,NA
2011,0,19,"No, but considering it",50,10,FALSE,NA,NA
2011,0,27,"No, and not planning to",NA,20,FALSE,NA,NA
2011,0.06,600,"No, but considering it",NA,NA,TRUE,NA,NA
2011,0.15,NA,"No, but considering it",NA,20,TRUE,NA,NA
2011,0.1,NA,"No, and not planning to",25,10,FALSE,NA,NA
2011,0,0,"No, but considering it",25,5,FALSE,NA,NA
2011,0.02,1,"No, but considering it",50,30,FALSE,NA,NA
2011,0.89,NA,"No, and not planning to",50,30,FALSE,NA,NA
2011,0.01,1,"Never thought about it / don't understand",25,10,FALSE,NA,NA
2011,0.1,0,"No, but considering it",75,20,FALSE,NA,NA
2011,0.1,0,"No, and not planning to",NA,0,FALSE,NA,NA
2011,0.25,30,"No, but considering it",25,30,FALSE,NA,NA
2011,NA,10,"No, but considering it",50,NA,FALSE,NA,NA
2011,0.99,NA,"No, but considering it",75,20,FALSE,NA,NA
2011,0.15,NA,"No, and not planning to",25,25,FALSE,NA,NA
2011,NA,25,"No, but considering it",50,NA,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,10,TRUE,NA,NA
2011,0.05,0,"No, and not planning to",25,3,FALSE,NA,NA
2011,0.5,2,"No, but considering it",NA,15,FALSE,NA,NA
2011,0.05,0,"No, but considering it",25,10,FALSE,NA,NA
2011,NA,6,"No, but considering it",25,10,TRUE,NA,NA
2011,NA,0,"No, but considering it",25,60,FALSE,NA,NA
2011,0.3,21,"No, but considering it",25,60,FALSE,NA,NA
2011,0.1,55,"No, and not planning to",25,NA,TRUE,NA,NA
2011,0,5,"No, but considering it",50,3,FALSE,NA,NA
2011,0.55,25,"No, but considering it",75,20,FALSE,NA,NA
2011,0.01,10,"No, but considering it",25,20,TRUE,NA,NA
2011,0.7,20,"No, but considering it",NA,20,FALSE,NA,NA
2011,0.6,50,"No, but considering it",50,5,FALSE,NA,NA
2011,NA,NA,"No, and not planning to",25,15,FALSE,NA,NA
2011,NA,119,NA,NA,15,FALSE,NA,NA
2011,0.4,119,"No, but considering it",NA,15,FALSE,NA,NA
2011,NA,0,"Never thought about it / don't understand",25,30,FALSE,NA,NA
2011,0,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,NA,0,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.02,NA,"No, but considering it",25,NA,FALSE,NA,NA
2011,0,0,"No, but considering it",25,2,FALSE,NA,NA
2011,NA,NA,"No, and not planning to",25,60,FALSE,NA,NA
2011,0.1,65,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.55,0,"No, but considering it",50,20,FALSE,NA,NA
2011,0,NA,"No, and not planning to",NA,NA,FALSE,NA,NA
2011,0.03,NA,"No, and not planning to",NA,10,FALSE,NA,NA
2011,0.9,56,"No, but considering it",75,1,TRUE,NA,NA
2011,NA,24,"No, and not planning to",NA,2,FALSE,NA,NA
2011,0.05,0,"Never thought about it / don't understand",NA,NA,FALSE,NA,NA
2011,0.05,2,"Never thought about it / don't understand",25,10,FALSE,NA,NA
2011,0,2,"No, but considering it",25,10,FALSE,NA,NA
2011,NA,0,"No, and not planning to",NA,10,FALSE,NA,NA
2011,0.75,NA,"No, and not planning to",25,30,FALSE,NA,NA
2011,0,397,"No, but considering it",50,60,FALSE,NA,NA
2011,0.01,NA,"No, but considering it",75,60,FALSE,NA,NA
2011,0.2,0,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.9,NA,"No, but considering it",NA,0,FALSE,NA,NA
2011,0.4,760,"No, but considering it",NA,15,FALSE,NA,NA
2011,0.05,NA,"No, and not planning to",NA,90,TRUE,NA,NA
2011,0.01,NA,"No, and not planning to",75,20,FALSE,NA,NA
2011,0.15,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.4,130,"No, but considering it",NA,30,TRUE,NA,NA
2011,0.4,NA,"No, but considering it",NA,20,FALSE,NA,NA
2011,NA,NA,"No, but considering it",NA,30,TRUE,NA,NA
2011,NA,NA,NA,NA,30,FALSE,NA,NA
2011,0.25,0,"No, and not planning to",NA,5,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,5,FALSE,NA,NA
2011,0.03,320,"No, and not planning to",50,10,TRUE,NA,NA
2011,0.05,753,"No, and not planning to",NA,20,FALSE,NA,NA
2011,0.75,0,"No, but considering it",NA,30,FALSE,NA,NA
2011,NA,NA,"No, and not planning to",25,10,FALSE,NA,NA
2011,0.02,NA,"No, and not planning to",25,NA,FALSE,NA,NA
2011,0.02,10,"No, and not planning to",25,10,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,10,TRUE,NA,NA
2011,0.25,NA,"No, and not planning to",25,5,FALSE,NA,NA
2011,0.05,30,"No, but considering it",NA,40,FALSE,NA,NA
2011,NA,12,"No, but considering it",25,10,TRUE,NA,NA
2011,0.4,NA,"No, but considering it",50,5,FALSE,NA,NA
2011,NA,11,"No, but considering it",25,10,FALSE,NA,NA
2011,0.05,NA,"No, and not planning to",75,20,FALSE,NA,NA
2011,0.2,NA,"No, but considering it",50,5,FALSE,NA,NA
2011,0.01,80,"No, and not planning to",25,15,TRUE,NA,NA
2011,0.8,NA,"No, but considering it",NA,20,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",25,20,FALSE,NA,NA
2011,0.05,20,"No, but considering it",NA,5,TRUE,NA,NA
2011,0.01,NA,"No, but considering it",75,30,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",25,10,FALSE,NA,NA
2011,0.2,0,"Yes - signed up or just finishing up paperwork",25,20,FALSE,NA,NA
2011,0,11,"No, but considering it",25,NA,FALSE,NA,NA
2011,0.05,3,"No, but considering it",25,60,FALSE,NA,NA
2011,0,2,"No, but considering it",25,20,FALSE,NA,NA
2011,0,NA,"No, but considering it",NA,15,TRUE,NA,NA
2011,0,753,"No, and not planning to",25,20,FALSE,NA,NA
2011,0.03,NA,"No, but considering it",75,20,FALSE,NA,NA
2011,0.1,267,"No, but considering it",25,15,TRUE,NA,NA
2011,NA,NA,"No, and not planning to",25,NA,FALSE,NA,NA
2011,NA,NA,"No, but considering it",50,NA,FALSE,NA,NA
2011,0.03,NA,"No, and not planning to",NA,NA,FALSE,NA,NA
2011,0.1,60,"No, but considering it",NA,60,FALSE,NA,NA
2011,0.1,NA,"No, and not planning to",75,30,FALSE,NA,NA
2011,0.15,NA,"No, but considering it",NA,0,TRUE,NA,NA
2011,NA,NA,"No, but considering it",25,NA,FALSE,NA,NA
2011,NA,0,"No, and not planning to",25,15,FALSE,NA,NA
2011,0.07,180,"No, and not planning to",NA,45,FALSE,NA,NA
2011,0.1,799,"No, and not planning to",NA,30,TRUE,NA,NA
2011,0.6,75,"No, and not planning to",50,20,FALSE,NA,NA
2011,NA,NA,"No, but considering it",25,5,FALSE,NA,NA
2011,0.01,-8,"Never thought about it / don't understand",25,15,FALSE,NA,NA
2011,0,NA,"No, and not planning to",50,2,FALSE,NA,NA
2011,0.5,NA,"No, and not planning to",NA,NA,FALSE,NA,NA
2011,0.25,0,"No, but considering it",25,10,FALSE,NA,NA
2011,NA,NA,"No, and not planning to",NA,NA,FALSE,NA,NA
2011,0.7,25,"No, but considering it",25,10,TRUE,NA,NA
2011,0.06,NA,"No, but considering it",NA,NA,FALSE,NA,NA
2011,0.73,0,"No, but considering it",25,5,FALSE,NA,NA
2011,0,3,"No, and not planning to",25,30,FALSE,NA,NA
2011,NA,NA,"No, and not planning to",NA,2,FALSE,NA,NA
2011,0.1,500,"No, but considering it",75,10,TRUE,NA,NA
2011,0.1,500,"No, but considering it",NA,30,FALSE,NA,NA
2011,0,NA,"Yes - signed up or just finishing up paperwork",25,15,FALSE,NA,NA
2011,0.35,50,"No, but considering it",75,45,FALSE,NA,NA
2011,0.15,NA,"No, but considering it",NA,45,FALSE,NA,NA
2011,0,NA,"No, but considering it",NA,40,FALSE,NA,NA
2011,0.85,25,"No, but considering it",50,15,FALSE,NA,NA
2011,0.1,NA,"No, and not planning to",75,5,TRUE,NA,NA
2011,0.8,NA,"No, but considering it",75,45,FALSE,NA,NA
2011,0.8,147,"No, but considering it",NA,30,FALSE,NA,NA
2011,NA,78,"No, but considering it",75,15,TRUE,NA,NA
2011,0.03,70,"No, but considering it",50,30,FALSE,NA,NA
2011,0.05,NA,"No, but considering it",NA,10,FALSE,NA,NA
2011,0.05,NA,"Never thought about it / don't understand",25,NA,FALSE,NA,NA
2011,0.25,8,"No, but considering it",50,10,TRUE,NA,NA
2011,0.05,4,"No, and not planning to",NA,2,FALSE,NA,NA
2011,0.25,0,"Yes - signed up or just finishing up paperwork",75,15,FALSE,NA,NA
2011,NA,NA,"Never thought about it / don't understand",25,0,FALSE,NA,NA
2011,0.5,NA,"No, but considering it",75,15,FALSE,NA,NA
2011,0.7,25,"No, but considering it",25,60,FALSE,NA,NA
2011,0.08,206,"No, and not planning to",75,40,FALSE,NA,NA
